category,categories_all,media_tags,name,gen_pop_reach,all_reach,dem_reach,rep_reach
Sports||Football,Sports||Football|Uncategorized,,Golden Tate,0.001442494181536,0.0018148820326678,0.0011790257524045,0.0027472527472527
Film / Tv,Film / Tv,,Goldie Hawn,0.0032971295577967,0.0046044229347314,0.0050884269314303,0.0040827228327228
News Media,News Media,journalist,Goldie Taylor,0.0011030837858805,0.0048732943469785,0.0070431275209432,0.0017170329670329
Film / Tv,Film / Tv,,Gordon Chang,0.000836404189294,0.0033945015796195,0.0013341607198262,0.0055326617826617
Food / Drink / Chefs,Food / Drink / Chefs,,Gordon Ramsay,0.0226435221101629,0.0190226524164818,0.0188644120384734,0.0184676434676434
Politics / Government,Politics / Government,politician,Gov Bill Haslam,0.0004848719937936,0.0019493177387914,0.0014582686937635,0.0032051282051282
Politics / Government,Politics / Government,politician,Governor Christie,0.0042789953452288,0.0237279021308059,0.020229599751784,0.0316697191697191
Politics / Government,Politics / Government,politician,Governor Jan Brewer,0.0004121411947245,0.0022181891510385,0.0014582686937635,0.0032814407814407
Politics / Government,Politics / Government,politician,Governor Mark Dayton,0.0003394103956555,0.0029911944612489,0.0029785913744958,0.00133547008547
Politics / Government,Politics / Government,politician,Governor Nathan Deal,0.0003151667959658,0.0018820998857296,0.0011790257524045,0.0033959096459096
Politics / Government,Politics / Government,politician,Governor Rick Snyder,0.0004969937936384,0.0039994622571755,0.0031957803288861,0.0052655677655677
Politics / Government,Politics / Government,politician,Governor Walker,0.0009212567882079,0.0061504335551522,0.0036922122246354,0.0109890109890109
Home And Garden,Home And Garden,,Grace Bonney,0.0037213925523661,0.0071587013510788,0.0084393422277381,0.0038919413919413
Entertainment,Entertainment,,Grace Helbig,0.0066669899146625,0.005612690730658,0.0067328575860999,0.0040064102564102
Politics / Government,Politics / Government,politician,Grace Meng,0.0007030643910007,0.005612690730658,0.0073533974557865,0.0023275335775335
Sports||Golf,Sports||Golf,,Graeme Mcdowell,0.0014546159813809,0.0036297640653357,0.0024201054917778,0.0042735042735042
Social Issues,Social Issues,activist,Graham Allen,0.0014303723816912,0.0015796195469516,0.0006515668631709,0.0042735042735042
News Media,News Media,journalist,Graham Lee Brewer,0.000145461598138,0.0016132284734825,0.0018305926155755,0.0008394383394383
News Media,News Media,journalist,Graham Moomaw (Journalist),0.0001212179984484,0.002050144518384,0.0022649705243561,0.0017551892551892
Film / Tv,Film / Tv,,Graham Norton,0.0052608611326609,0.0056462996571889,0.0051194539249146,0.0046550671550671
Business||Management / Ceos,Business||Management / Ceos,,Graham Stephan,0.0051638867339022,0.0031592390939033,0.0038163201985727,0.0038156288156288
Motivational / Leadership,Motivational / Leadership,,Grant Cardone,0.006703355314197,0.0058479532163742,0.0044368600682593,0.0080509768009768
Sports||Basketball,Sports||Basketball,,Grant Hill,0.0017334173778122,0.0031256301673724,0.0037852932050884,0.002251221001221
News Media,News Media,journalist,Grant Imahara,0.0036244181536074,0.0031928480204342,0.0038163201985727,0.0033577533577533
Sports||Journalist Broadcaster,Sports||Journalist Broadcaster,journalist,Grant Wahl,0.0020607059736229,0.0059823889224978,0.0081600992863791,0.0049603174603174
Science / Technology,Science / Technology,,Grant Sanderson,0.0040850465477114,0.0037641997714592,0.0035060502637294,0.0029380341880341
Business||Finance,Business||Finance,,Greg (Finance Influencer),0.0015637121799844,0.0031256301673724,0.0028544834005584,0.0046550671550671
Politics / Government,Politics / Government,politician,Greg Abbott,0.0040244375484872,0.0137124420246017,0.0088426931430344,0.0212912087912087
News Media,News Media,journalist,Greg Bensinger,0.0002303141970519,0.002050144518384,0.0030096183679801,0.0009157509157509
News Media,News Media,journalist,Greg Bluestein,0.0008727695888285,0.0084358405592525,0.0100527458889233,0.0063339438339438
Politics / Government,Politics / Government,politician,Greg Casar,0.0005091155934833,0.003831417624521,0.005243561898852,0.0020985958485958
News Media,News Media,journalist,Greg Giroux,0.0002666795965865,0.0052429925388183,0.0060192367359602,0.0049603174603174
News Media,News Media,journalist,Greg Gutfeld,0.0067518425135764,0.013914095583787,0.0055848588271796,0.0296092796092796
Business||Management / Ceos,Business||Management / Ceos,,Greg Isenberg,0.0012849107835531,0.0033945015796195,0.0034750232702451,0.0026709401709401
News Media,News Media,journalist,Greg Jaffe,0.000303044996121,0.0050077300531021,0.0070431275209432,0.0020604395604395
Film / Tv,Film / Tv,,Greg Kelly,0.0019152443754848,0.0041675068898299,0.0013341607198262,0.0089667277167277
Authors||Other,Authors||Other,,Greg Laurie,0.0017212955779674,0.0017476641796061,0.0007756748371082,0.0037011599511599
News Media,News Media,journalist,Greg Linch,0.0001818269976726,0.0022517980775694,0.0033198883028234,0.0007249694749694
